AR,Argentina,Personal,{number}@alertas.personal.com.ar,ALE-PERS,
CA,Canada,Bell Mobility,{number}@txt.bell.ca,BELL-CAN,
CA,Canada,Fido,{number}@sms.fido.ca,FIDO-CAN,
CA,Canada,Koodo Mobile,{number}@msg.koodomobile.com,KOOD-CAN,
CA,Canada,MTS Mobility,{number}@text.mtsmobility.com,MTS-CAN,
CA,Canada,PC Telecom,{number}@mobiletxt.ca,PCM-CAN,
CA,Canada,SaskTel,{number}@sms.sasktel.com,SAS-CAN,
CA,Canada,SaskTel Mobility,{number}@pcs.sasktelmobility.com,SASM-CAN,
CA,Canada,Telus Mobility,{number}@msg.telus.com,TEL-CAN,
CA,Canada,Virgin Mobile,{number}@vmobile.ca,VM-CAN,
CA,Canada,PageNet,{number}@pagegate.pagenet.ca,PAGE-CAN,
CA,Canada,Rogers Wireless,{number}@sms.rogers.com,ROG-CAN,
DK,Denmark,Telia,{number}@gsm1800.telia.dk,TEL-DEN,
DE,Germany,T-Mobile,{number}@t-d1-sms.de,TMOB-GER,
FR,France,SFR,{number}@sfr.fr,SFR-FRA,
PL,Poland,PlusGSM,+48{number}@text.plusgsm.pl,PGSM-POL,
ES,Spain,Movistar,{number}@correo.movistar.net,MOV-SPN,
ES,Spain,Vodafone,{number}@vodafone.es,VODA-SP,
CH,Switzerland,SwissCom,{number}@bluewin.CA,SCOM-SUI,
US,United States,Alltel,{number}@sms.alltelwireless.com,AT-USA,
US,United States,ACS Alaska,{number}@msg.acsalaska.com,ACS-USA,
US,United States,Alaska Wireless,{number}@sms.alaska-wireless.com,ALKW-USA,
US,United States,Appalachian Wireless,{number}@awsms.com,APPW-USA,
US,United States,AT&T,{number}@txt.att.net,ATTM-USA,
US,United States,Boost Mobile,{number}@myboostmobile.com,BM-USA,
US,United States,Cellcom,{number}@cellcom.quiktxt.com,,http://simplisafe.com/forum/customer-support-forum/installing-and-using-simplisafe/please-add-cellcom-cellular
US,United States,C Spire,{number}@cspire1.com,CS-USA,
US,United States,Cincinnati Bell,{number}@gocbw.com,CB-USA,
US,United States,Cricket,{number}@sms.mycricket.com,CRIC-USA,
US,United States,Einstein Wireless,{number}@einsteinsms.com,EPCS-USA,
US,United States,GCI Wireless,{number}@mobile.gci.net,,http://www.gci.com/kb/alaska-wireless-support-information
US,United States,Inland Cellular,{number}@inlandlink.com,IC-USA,
US,United States,Metro PCS,{number}@mymetropcs.com,MPCS-USA,
US,United States,Qwest,{number}@qwestmp.com,QWE-USA,
US,United States,Rogers Wireless,{number}@sms.rogers.com,ROG-USA,
US,United States,Sprint,{number}@messaging.sprintpcs.com,SPR-USA,
US,United States,T-Mobile,{number}@tmomail.net,TMOB-USA,
US,United States,Telus Mobility,{number}@msg.telus.com,TEL-USA,
US,United States,Verizon Wireless,{number}@vtext.com,VW-USA,
US,United States,Virgin Mobile,{number}@vmobl.com,VM-USA,
